Address,Aggregate rating,Average Cost for two,City,Country Code,Country,Cuisines,Currency,Has Online delivery,Has Table booking,Is delivering now,Latitude,Locality Verbose,Locality,Longitude,Price range,Rating color,Rating text,Restaurant ID,Restaurant Name,Votes
"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City",4.8,1100,Makati City,162,Phillipines,"French, Japanese, Desserts",Botswana Pula(P),No,Yes,No,14.565443,"Century City Mall, Poblacion, Makati City, Makati City","Century City Mall, Poblacion, Makati City",121.027535,3,Dark Green,Excellent,6317637,Le Petit Souffle,314
"Little Tokyo, 2277 Chino Roces Avenue, Legaspi Village, Makati City",4.5,1200,Makati City,162,Phillipines,Japanese,Botswana Pula(P),No,Yes,No,14.553708,"Little Tokyo, Legaspi Village, Makati City, Makati City","Little Tokyo, Legaspi Village, Makati City",121.014101,3,Dark Green,Excellent,6304287,Izakaya Kikufuji,591
"Edsa Shangri-La, 1 Garden Way, Ortigas, Mandaluyong City",4.4,4000,Mandaluyong City,162,Phillipines,"Seafood, Asian, Filipino, Indian",Botswana Pula(P),No,Yes,No,14.581404,"Edsa Shangri-La, Ortigas, Mandaluyong City, Mandaluyong City","Edsa Shangri-La, Ortigas, Mandaluyong City",121.056831,4,Green,Very Good,6300002,Heat - Edsa Shangri-La,270
"Third Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",4.9,1500,Mandaluyong City,162,Phillipines,"Japanese, Sushi",Botswana Pula(P),No,No,No,14.585318,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056475,4,Dark Green,Excellent,6318506,Ooma,365
"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City",4.8,1500,Mandaluyong City,162,Phillipines,"Japanese, Korean",Botswana Pula(P),No,Yes,No,14.58445,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.057508,4,Dark Green,Excellent,6314302,Sambo Kojin,229
"Ground Floor, Mega Fashion Hall, SM Megamall, Ortigas, Mandaluyong City",4.4,1000,Mandaluyong City,162,Phillipines,Chinese,Botswana Pula(P),No,No,No,14.583764,"SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City",121.056314,3,Green,Very Good,18189371,Din Tai Fung,336
"Building K, SM By The Bay, Sunset Boulevard, Mall of Asia Complex (MOA), Pasay City",4,2000,Pasay City,162,Phillipines,"Asian, European",Botswana Pula(P),No,Yes,No,14.53133333,"SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9796667,4,Green,Very Good,6300781,Buffet 101,520
"Building B, By The Bay, Seaside Boulevard, Mall of Asia Complex (MOA), Pasay City",4.2,2000,Pasay City,162,Phillipines,"Seafood, Filipino, Asian, European",Botswana Pula(P),No,Yes,No,14.54,"SM by the Bay, Mall of Asia Complex, Pasay City, Pasay City","SM by the Bay, Mall of Asia Complex, Pasay City",120.9793333,4,Green,Very Good,6301290,Vikings,677
"Plaza Level, Sofitel Philippine Plaza Manila, CCP Complex, Pasay City",4.9,6000,Pasay City,162,Phillipines,"European, Asian, Indian",Botswana Pula(P),No,Yes,No,14.55299,"Sofitel Philippine Plaza Manila, Pasay City, Pasay City","Sofitel Philippine Plaza Manila, Pasay City",120.98009,4,Dark Green,Excellent,6300010,Spiral - Sofitel Philippine Plaza Manila,621
"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",4.8,1100,Pasig City,162,Phillipines,Filipino,Botswana Pula(P),No,Yes,No,14.572041,"Kapitolyo, Pasig City",Kapitolyo,121.056532,3,Dark Green,Excellent,6314987,Locavore,532
"75 East Capitol Drive, Kapitolyo, Pasig City",4.9,800,Pasig City,162,Phillipines,"Filipino, Mexican",Botswana Pula(P),No,No,No,14.567689,"Kapitolyo, Pasig City",Kapitolyo,121.057916,3,Dark Green,Excellent,6309903,Silantro Fil-Mex,1070
"23 East Capitol Drive, Kapitolyo, Pasig City",4.2,900,Pasig City,162,Phillipines,"American, Ice Cream, Desserts",Botswana Pula(P),No,Yes,No,14.570849,"Kapitolyo, Pasig City",Kapitolyo,121.06082,3,Green,Very Good,6309455,Mad Mark's Creamery & Good Eats,488
"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City",4.8,800,Quezon City,162,Phillipines,"Filipino, Mexican",Botswana Pula(P),No,No,No,14.649503,"UP Town Center, Diliman, Quezon City, Quezon City","UP Town Center, Diliman, Quezon City",121.075419,3,Dark Green,Excellent,6318433,Silantro Fil-Mex,294
"387 P. Guevarra Corner Argonne Street, Addition Hills, San Juan City",4.2,1000,San Juan City,162,Phillipines,Filipino,Botswana Pula(P),No,Yes,No,14.59345,"Addition Hills, San Juan City",Addition Hills,121.0335917,3,Green,Very Good,6310470,Guevarra's,458
"17 J. Abad Santos Drive, Little Baguio, San Juan City",4.3,700,San Juan City,162,Phillipines,Korean,Botswana Pula(P),No,No,No,14.59889,"Little Baguio, San Juan City",Little Baguio,121.03811,3,Green,Very Good,6314605,Sodam Korean Restaurant,223
"Ayala Mall, Solenad, Nuvali, Santa Rosa - Tagaytay Road, Don Jose, Santa Rosa",3.6,800,Santa Rosa,162,Phillipines,"Cafe, American, Italian, Filipino",Botswana Pula(P),No,No,No,14.237082,"Nuvali, Don Jose, Santa Rosa, Santa Rosa","Nuvali, Don Jose, Santa Rosa",121.05704,3,Yellow,Good,18185059,Cafe Arabelle,29
"Ground Floor, Building G, Solenad 3, Nuvali, Don Jose, Santa Rosa",4,850,Santa Rosa,162,Phillipines,"Italian, Pizza",Botswana Pula(P),No,No,No,14.23767897,"Solenad 3, Don Jose, Santa Rosa, Santa Rosa","Solenad 3, Don Jose, Santa Rosa",121.0565874,3,Green,Very Good,18182702,Nonna's Pasta & Pizzeria,72
"Aguinaldo Highway, Tagaytay City",4.5,1200,Tagaytay City,162,Phillipines,Filipino,Botswana Pula(P),No,Yes,No,14.101834,"Tagaytay City, Tagaytay City",Tagaytay City,120.951589,3,Dark Green,Excellent,6318213,Balay Dako,211
"Third Floor, BGC Stopover Pavillion, Rizal Drive Corner 31st Street, Bonifacio Global City, Taguig City",4.5,600,Taguig City,162,Phillipines,"Cafe, Korean, Desserts",Botswana Pula(P),No,No,No,14.55436,"BGC Stopover Pavillion, Bonifacio Global City, Taguig City","BGC Stopover Pavillion, Bonifacio Global City",121.045878,2,Dark Green,Excellent,18255654,Hobing Korean Dessert Cafe,118
