NAME,GP,FGM,FGA,3PA,FTM,FTA,OREB,DREB,AST,TOV,CAREER_5YRS
Brandon Ingram,36,2,7,2,1,2,0,3,1,1,0
Andrew Harrison,35,2,6,2,2,3,0,2,3,1,0
JaKarr Sampson,74,2,4,1,0,1,0,1,1,1,0
Malik Sealy,58,2,5,0,0,1,1,0,0,1,1
Matt Geiger,48,1,3,0,1,1,1,1,0,0,1
Tony Bennett,75,1,3,1,0,0,0,0,1,0,0
Don MacLean,62,2,5,0,1,1,0,1,0,0,1
Tracy Murray,48,2,5,1,0,0,0,0,0,0,1
Duane Cooper,65,1,2,0,0,0,0,0,2,1,0
Dave Johnson,42,1,3,0,1,1,0,0,0,0,0
Corey Williams,35,0,2,0,0,0,0,0,0,0,0
Sam Mack,40,1,3,0,1,1,0,0,0,0,1
Lorenzo Williams,27,0,1,0,0,0,0,1,0,0,1
P.J. Hairston,45,1,6,3,0,0,0,1,0,0,0
Elmore Spencer,44,1,1,0,0,0,0,1,0,0,1
John Crotty,40,0,1,0,0,1,0,0,1,0,1
Stephen Howard,49,0,1,0,0,1,0,0,0,0,0
Randy Woods,41,0,1,0,0,0,0,0,1,0,0
Larry Johnson,82,7,15,0,4,5,3,7,3,1,1
Larry Johnson,82,7,15,0,4,5,3,7,3,1,1
Billy Owens,80,5,11,0,2,3,3,5,2,2,1
Stacey Augmon,82,5,11,0,2,3,2,2,2,2,1
Mark Macon,76,4,11,0,1,2,1,1,2,2,1
Steven Smith,61,4,10,2,1,2,1,1,4,2,0
Mitch McGary,32,2,5,0,0,1,1,3,0,1,0
Larry Stewart,76,4,7,0,2,3,2,3,1,1,1
Mike Iuzzolino,52,3,6,2,2,2,0,1,3,1,0
Doug Smith,76,3,9,0,1,1,1,3,1,1,1
Paul Graham,78,3,8,1,1,2,0,2,2,1,0
Donald Hodge,51,3,6,0,2,2,2,3,0,1,1
Dale Davis,64,2,4,0,1,2,2,3,0,0,1
Stanley Roberts,55,4,8,0,1,3,2,4,0,1,1
Terrell Brandon,82,3,7,0,1,1,0,1,3,1,1
Bison Dele,48,3,6,0,2,3,2,3,0,1,1
Spencer Dinwiddie,34,1,5,1,0,1,0,1,3,1,0
Tracy Moore,42,3,7,2,1,1,0,1,1,1,1
Greg Anthony,82,2,5,0,1,1,0,1,3,1,1
Kenny Anderson,64,2,7,0,1,1,0,1,3,1,1
Victor Alexander,80,3,5,0,1,1,1,2,0,1,1
David Benoit,77,2,4,0,1,1,1,2,0,0,1
Kevin Lynch,55,1,4,0,0,0,0,1,1,0,0
LaBradford Smith,48,2,5,0,0,1,0,1,2,1,0
Chris Corchiani,51,1,3,0,1,2,0,1,2,1,0
Travis Wear,51,1,4,0,0,0,0,1,0,0,0
Robert Pack,72,1,3,0,1,1,0,0,1,1,1
Pete Chilcutt,69,1,3,0,0,0,1,1,0,0,1
Chris Gatling,54,2,3,0,1,2,1,2,0,0,1
Tharon Mayes,24,1,4,1,1,1,0,0,1,1,0
Eric Murdock,50,1,3,0,0,1,0,0,1,1,1
Randy Brown,56,1,3,0,0,1,0,0,1,0,1
Greg Sutton,67,1,3,1,0,0,0,0,1,1,0
Elliot Perry,50,1,2,0,0,0,0,0,1,1,1
Marty Conlon,45,1,2,0,0,0,0,0,0,0,1
Rodney Monroe,38,1,3,0,0,0,0,0,0,0,0
John Turner,42,1,2,0,0,1,0,1,0,0,0
Mark Randall,54,1,2,0,0,0,0,0,0,0,0
Sean Green,35,1,4,0,0,0,0,0,0,0,0
Kevin Brooks,37,1,2,0,0,0,0,0,0,0,0
Doug Lee,46,1,2,0,0,0,0,0,0,0,0
Corey Crowder,51,0,2,0,0,0,0,0,0,0,0
Rich King,40,0,1,0,0,1,0,0,0,0,0
Stephen Thompson,19,0,1,0,0,0,0,0,0,0,0
Charles Thomas,36,0,1,0,0,0,0,0,0,0,0
Lionel Simmons,79,6,16,0,4,5,2,6,4,2,1
Gary Harris,55,1,3,1,0,0,0,0,0,0,0
Derrick Coleman,74,6,14,0,4,6,3,6,2,2,1
Travis Mays,64,4,11,3,4,5,0,1,4,2,0
Dennis Scott,82,6,14,4,1,2,0,2,1,1,1
Gary Payton,82,3,7,0,0,1,1,1,6,2,1
Felton Spencer,81,2,4,0,2,3,3,4,0,0,1
Willie Burton,76,4,10,0,3,3,1,2,1,1,1
Dee Brown,82,3,7,0,1,1,0,1,4,1,0
Kendall Gill,82,4,10,0,1,2,1,1,3,2,1
Duane Causwell,76,2,5,0,1,2,1,3,0,1,1
Mahmoud Abdul-Rauf,67,6,15,1,1,1,0,1,3,1,1
A.J. English,70,3,8,0,1,2,0,1,2,1,0
Danny Ferry,81,3,7,1,1,1,1,2,1,1,1
Mario Elie,33,2,4,0,2,2,1,1,1,0,1
Anthony Cook,58,2,4,0,1,2,2,3,0,0,0
Gerald Paddio,70,3,7,0,1,1,0,1,1,1,0
Bimbo Coles,82,2,4,0,0,1,0,1,2,1,1
Bo Kimble,62,2,6,1,1,1,0,1,1,1,0
Alec Kessler,78,2,6,0,1,1,1,2,0,1,0
Loy Vaught,73,2,4,0,0,1,1,3,0,0,1
Tyrone Hill,74,2,4,0,1,2,2,3,0,1,1
Marcus Liberty,76,2,6,0,0,1,1,1,0,0,0
Terry Mills,55,2,5,0,0,1,1,2,0,0,1
Jamal Robinson,47,2,5,0,1,1,0,1,2,1,0
Henry James,37,3,6,1,1,1,0,1,0,1,1
Jerrod Mustaf,62,1,3,0,0,1,0,1,0,1,0
Kevin Pritchard,62,1,3,0,1,1,0,0,1,0,0
Gerald Glass,51,2,6,0,1,1,1,0,0,0,0
Larry Robinson,36,1,4,0,0,0,0,0,1,0,1
Jud Buechler,74,1,3,0,0,0,0,1,0,0,1
Cedric Ceballos,63,3,6,0,1,2,1,1,0,1,1
Kyle Anderson,33,0,2,0,0,0,0,2,0,0,0
Greg Foster,54,1,3,0,0,1,1,1,0,0,1
Brian Oliver,73,1,3,0,0,1,0,0,1,0,0
Howard Wright,15,1,3,0,1,1,0,2,0,0,0
Tony Smith,64,1,3,0,0,0,0,0,2,1,1
Tate George,56,1,3,0,0,0,0,0,1,0,0
Rick Calloway,64,1,3,0,0,1,0,0,1,0,0
Steve Henson,68,1,2,0,0,0,0,0,1,0,1
Andy Toolson,47,1,2,0,0,0,0,0,0,0,0
Jayson Williams,52,1,3,0,0,1,0,1,0,0,1
Kennard Winchester,64,1,3,0,0,0,0,0,0,0,0
Johnny O'Bryant,34,1,3,0,0,0,0,1,0,0,0
Dwayne Schintzius,42,1,3,0,0,1,0,2,0,0,1
Sean Higgins,50,1,4,0,0,0,0,0,0,1,1
Elden Campbell,52,1,2,0,0,0,0,1,0,0,1
Kenny Williams,75,1,2,0,0,0,0,1,0,0,0
Keith Askins,39,0,2,0,0,0,0,1,0,0,1
Scott Williams,51,1,2,0,0,0,0,1,0,0,1
Richard Coffey,52,0,1,0,0,0,0,0,0,0,0
Steve Scheffler,39,0,1,0,0,0,0,0,0,0,1
David Robinson,82,8,15,0,7,10,3,8,2,3,1
