Area,Perimeter,Kernel_len,Kernel_width,Kernelgroove_len,Type
12.76,13.38,5.073,3.155,4.83,0
12.13,13.73,5.394,3.745,5.22,0
14.86,14.67,5.678,3.258,5.351,0
15.69,14.75,5.527,3.514,5.046,0
19.94,16.92,6.675,3.763,6.55,1
14.26,13.6,5.408,3.3,5.36,0
13.99,13.83,5.119,3.383,4.781,0
14.4,13.08,5.136,3.763,5.089,0
12.48,13.05,5.18,3.58,5.002,0
12.93,13.8,5.046,3.717,5.045,0
14.01,14.29,5.609,3.158,5.132,0
16.23,15.18,5.872,3.472,5.922,1
14.79,14.52,5.545,3.291,5.111,0
14.28,14.17,5.397,3.298,5.001,0
18.27,16.09,6.173,3.651,6.197,1
12.23,13.82,5.089,3.821,4.957,0
18.88,16.26,6.084,3.764,6.109,1
12.11,13.47,5.159,3.032,5.519,0
13.5,13.85,5.351,3.158,5.176,0
12.88,13.5,5.139,3.119,5.607,0
14.11,14.18,5.541,3.221,5.038,0
14.99,14.56,5.57,3.377,5.175,0
14.46,14.35,5.388,3.377,5.044,0
19.46,16.5,6.113,3.892,6.009,1
14.23,15.88,5.14,3.795,5.003,0
17.55,15.66,5.791,3.69,5.661,1
15.03,14.77,5.702,3.212,5.439,0
14.7,14.21,5.205,3.466,4.649,0
14.38,14.21,5.386,3.312,4.956,0
19.38,16.72,6.303,3.791,5.965,1
14.09,14.41,5.717,3.186,5.299,0
13.94,14.17,5.585,3.15,5.012,0
12.3,13.34,5.243,2.974,5.063,0
14.23,13.63,4.902,3.879,4.703,0
16.53,15.34,5.875,3.467,5.88,1
15.55,13.1,5.167,3.45,4.956,0
17.32,15.91,6.064,3.403,5.922,1
13.16,13.82,5.454,2.975,5.056,0
15.38,14.9,5.884,3.268,5.795,1
12.02,13.33,5.35,3.81,5.308,0
16.59,14.41,4.899,3.787,4.794,0
15.41,14.95,5.09,3.775,4.825,0
12.49,13.46,5.267,3.967,5.002,0
19.06,16.45,6.416,3.719,6.163,1
15.05,14.68,5.712,3.328,5.36,0
13.36,13.05,5.175,3.575,5.263,0
12.01,13.52,5.405,3.67,5.27,0
13.35,13.12,5.176,3.668,5.132,0
20.1,16.99,6.581,3.785,6.449,1
13.78,14.06,5.479,3.156,4.872,0
13.45,14.02,5.516,3.065,5.097,0
14.88,14.57,5.554,3.333,4.956,0
12.74,13.67,5.395,2.956,4.869,0
18.72,16.19,6.006,3.857,5.879,1
19.13,16.31,6.183,3.902,5.924,1
15.01,14.76,5.789,3.245,5.001,0
14.59,14.28,5.351,3.333,4.781,0
12.18,13.04,5.22,3.693,5.001,0
17.26,15.73,5.978,3.594,5.791,1
12.05,13.41,5.267,2.947,5.046,0
16.17,15.38,5.762,3.387,5.703,1
13.37,13.78,5.32,3.128,5.091,0
12.54,13.67,5.451,2.97,5.491,0
15.11,14.54,5.579,3.462,5.18,0
12.1,13.15,5.105,2.941,5.056,0
16.16,15.33,5.845,3.395,5.795,1
16.14,14.99,5.658,3.562,5.175,0
13.83,15.96,5.278,3.641,5.185,0
12.56,13.31,5.363,3.83,5.182,0
13.21,13.13,5.279,3.687,5.275,0
16.15,14.54,5.417,3.837,5.338,1
14.92,14.43,5.384,3.412,5.088,0
12.19,13.2,5.137,2.981,4.87,0
18.59,16.05,6.037,3.86,5.877,1
12.87,13.02,5.132,2.953,5.132,0
15.57,15.15,5.92,3.231,5.879,1
15.49,14.94,5.757,3.371,5.228,0
14.65,13.07,5.108,3.185,5.135,0
19.31,16.59,6.341,3.81,6.238,1
14.43,14.4,5.585,3.272,5.144,0
16.63,15.46,6.053,3.465,5.877,0
12.37,13.47,5.204,2.96,5.001,0
12.74,14.73,5.145,3.642,4.963,0
20.97,17.25,6.563,3.991,6.316,1
12.36,13.19,5.076,3.042,5.605,0
14.52,14.6,5.741,3.113,5.487,0
12.8,13.47,5.16,3.126,4.914,0
