ID,FoodGroup,Energy_kcal,Protein_g,Fat_g,Carb_g,Sugar_g,Fiber_g,VitA_mcg,VitB6_mg,VitB12_mcg,VitC_mg,VitE_mg,Folate_mcg,Niacin_mg,Riboflavin_mg,Thiamin_mg,Calcium_mg,Copper_mcg,Iron_mg,Magnesium_mg
1001,Dairy and Egg Products,717,0.85,81.11,0.06,0.06,0,684,0.003,0.17,0,2.32,3,0.042,0.034,0.005,24,0,0.02,2
1008,Dairy and Egg Products,376,25.18,29.2,3.06,0,0,271,0.074,0.27,0,0,18,0.18,0.45,0.031,673,0.024,0.64,22
1011,Dairy and Egg Products,394,23.76,32.11,2.57,0.52,0,264,0.079,0.83,0,0.28,18,0.093,0.375,0.015,685,0.042,0.76,26
1019,Dairy and Egg Products,264,14.21,21.28,4.09,4.09,0,125,0.424,1.69,0,0.18,32,0.991,0.844,0.154,493,0.032,0.65,19
1021,Dairy and Egg Products,466,9.65,29.51,42.65,0,0,334,0.271,2.42,0,0,5,0.813,1.382,0.315,400,0.08,0.52,70
1026,Dairy and Egg Products,300,22.17,22.35,2.19,1.03,0,179,0.037,2.28,0,0.19,7,0.104,0.283,0.03,505,0.011,0.44,20
1031,Dairy and Egg Products,253,9.15,22.78,3.59,3.19,0,241,0.041,0.3,0,0.4,14,0.21,0.155,0.022,117,0.027,0.13,10
1035,Dairy and Egg Products,351,25.58,26.62,2.14,0.56,0,236,0.073,1.46,0,0.23,10,0.156,0.321,0.019,756,0.026,0.52,28
1038,Dairy and Egg Products,387,31.8,26.94,3.63,0.73,0,96,0.085,1.12,0,0.23,7,0.077,0.37,0.037,1064,0.03,0.77,41
1042,Dairy and Egg Products,366,18.13,30.71,4.78,2.26,0,317,0.054,1.5,0,0.8,8,0.076,0.234,0.015,1045,0.046,0.63,26
1043,Dairy and Egg Products,375,22.13,31.2,1.73,0.62,0.1,244,0.071,0.7,2.3,0.29,8,0.078,0.354,0.027,614,0.033,0.42,22
