,Id,Text,Score
0,3306,"I HATE SUCRALOSE.<br /><br />Honestly, I don't know how other people CAN'T taste it when it's in sweetened products. It's got this unpleasant fake flavor that I just can't ignore. I think any company that uses that junk should be required by law to indicate it on their box and all advertising.<br /><br />That being said, it seems like this hot cocoa has less sucralose than the Cafe Escapes Hot Cocoa, and as such I have to give it higher marks than the competition.<br /><br />Still, I can't believe this product AND its nearest competitor use sucralose but don't say they're a diet, lite, low-sugar, or otherwise unnaturally-sweetened product. It's frustrating. I can taste the stuff, and I really dislike it. I also don't like the chemical makeup of sucralose, but I won't go into that here (just believe me: natural sugar is way better for you in the long run).<br /><br />There's one other choice out there for a hot cocoa in a K-Cup, and that's Swiss Miss. Unfortunately, the Swiss Miss K-Cups are ridiculously high priced and hard to find.<br /><br />My opinion? It's probably better if you just get your favorite hot cocoa in packets, and use the hot water function of your Keurig. It's not worth the K-Cup convenience if you have to put up with artificial sweeteners or significantly higher prices. Spending more than seventy-five cents per cup of water-based hot cocoa is about the limit for me.<br /><br />So, if you're into sucralose/Splenda, then by all means grab this and enjoy that weird aftertaste and decidedly not-sugar flavor. If you're like me, though, and can't stand that artificial stuff, then avoid this product and find another option.<br /><br />Three stars for tasting decent despite the awful artificial sweetener. Minus two stars for being artificially sweetened and not mentioning it anywhere.<br /><br />UPDATE:  I just found out that the Swiss Miss K-Cups also use sucralose. So really, your only choice is to get packets and use your Keurig as a hot water dispenser. How disappointing.<br /><br />UPDATE 02/12: After some research, I found that there is one K-Cup hot cocoa that doesn't have sucralose; However, it is loaded with fructose instead (not the greatest trade-off, since it tastes different from sugar/sucrose, in my opinion) and has no actual sugar/sucrose in it. That one is Green Mountain Coffee Hot Cocoa. Unfortunately, reviews of it say it has a strong coconut flavor (probably because the second ingredient is coconut oil) and is on the salty side, so I have avoided it. It's also more expensive per-cup, and unless you think a single cup of cocoa is worth over a dollar and twenty-five cents (as opposed to a box of 12 packets being around two dollars) then go ahead and try it. I will refrain at this point and stick to using packets.<br /><br />I would also like to clarify again that despite what some comments say, the Cafe Escapes Hot Cocoa K-Cups, Swiss Miss Hot Cocoa K-Cups, and Grove Square Hot Cocoa K-Cups ALL use sucralose. Yes, there is sugar in some of those, but it is IN ADDITION TO sucralose/Splenda, and not by itself.<br /><br />So your choices right now are pure sucralose, sucralose plus a sugar, or pure fructose. None of them is appetizing to me, and all of them make the cost per cup of cocoa quite unpleasant.<br /><br />43 servings of sugar-sweetened cocoa in a canister will run you around six bucks, and it's no more complicated than a K-Cup if you know how to operate a spoon.",3
1,7851,I love rice and this was good with all kinds of textures! I am allergic to so many things but this soup was awesome and no hives! Win WIN!,5
2,17227,I would like to tell this company that the whole box of bars had melted and then it was so crumbly to eat it was a mess I don't want to spend the money to send them back it's so expensive but wish they would send me another box that was not melted and falling apart. What do you do about that?,1
3,18152,"The label says that this product is made by removing the water AND FAT from peanuts. Have you ever tried those natural peanut butters where you have to mix in the oil which floats on top? Have you ever poured off that oil and tasted what remains? Nasty like sawdust, isn't it? That's because nearly all the good peanut flavor is contained in that oil. This product doesn't have that oil, so it is hugely lacking in flavor. For those who must consume what they perceive as peanut butter, even if it has less than ten percent of real peanut butter flavor, this is the product for you, hence its rating with two stars. I very strongly suspect rating fraud for this item; I can't for a moment believe that such an overwhelming proportion of real consumers rated it so highly.<br /><br />I got to thinking about how this product must be made: Peanut oil is made by pressing peanuts under a crushing weight, then either centrifuging or injecting with water so the oil will float on top for removal. Once the oil is removed, what remains is an industrial waste product which apparently gets put into jars and labeled as ""PB2"" for the suckers among us (which USED to be me, but never again).",2
4,21017,"I ordered the GREENIES 'PETITE' size for my dogs, as I have done many times  before thru Amazon.  This time however, the WRONG size greenies arrived.  The thing is, the box DID say it was the PETITE size on it!  After I opened the box, I found that it was the next size up and too big for my dogs to eat.  Now I have to try & cut these stinkers with a scissors each day!  I'm NOT happy...but I couldn't return them as I had opened the package.<br />I am afraid to order more, as the entire batch that Amazon has, may ALL be MIS-labled!",3
5,22592,"I've bought many Annie's products, including another type of mac & cheese, so I was expecting to like this item as well.  I eat whole grain pasta all the time and love it.  With this product, I think it was more the cheese sauce than the pasta that turned me off.  I found it watery and didn't think there was enough of it, although I'm not sure if having more of something I didn't really like would be an improvement.<br /><br />I'll stick to other kinds of mac & cheese and skip this in the future.",2
6,23209,"The title says it all... I didn't have heartburn with this coffee but I didn't like the flavor.  Since coffee flavor is a very personal thing, this shouldn't stop you from trying it if you need a low acid coffee.",2
7,26097,"These things are just too darn cheesy. If you like a lot of flavor, you'll love these. Otherwise, you will overdose on their cheddary goodness.",3
8,28511,I was excited to try this sauce after reading the reviews.  I was very disappointed in the flavor of the marinade.  If you like a smokey flavor than this is for you.  I was hoping for a fajita flavor.,2
9,35217,"This is a great product if you like strong coffee.  I like the flavor too.  I first bought it at Cost Plus about six months ago.  Ever since, It's been my favorite.  And I drink a lot of coffee.",5
10,37870,"I love this tea. The Good Earth tea bags result in a slightly tangy, sweet tea without needing to use sugar. I will frequently have several cups of this tea in the winter and in the summer it makes a good iced tea. I have several friends who have diabetes and they have all really liked it when I serve it. Unlike a lot of other herbal teas, this tea is based on spices rather than on rose hips which tend to upset my stomach. I highly reccommend this tea to anyone that likes herbal teas and likes to watch their sugar intake. The caffinated Good Earth original tea is also very good, giving you a caffine hit and a slightly sweetened tea without using sugar. Both teas have a very pleasant taste without being overwhelming. The Good Earth original tea reminds me a bit of the really great Seattle Spice Market tea.",5
11,39892,"Kombucha is traditionally a combination of bacteria and yeast that is theoretically supposed to help balance the flora in your intestinal tract.  While Yogi teas tea box does not make these claims, they also fail to tell buyers that their Kombucha tea contains both bacteria and yeast.  They claim that the strains of bacteria and yeast are safe, however they stated to me that their product contains Brewer's yeast which is known to aggravate even cause yeast infections in those prone to systemic yeast infections.  They claim that the yeast is killed in the Brewing process, but one can not be sure of this and if you are prone to systemic yeast infections, I would highly recommend that you avoid this product.  They have already had one law suit filed against them by a woman who is convinced that their product caused her yeast infection.",1
12,40771,"I have a lab that absolutely loves these.  I buy the 6-pack of small dog peanut butter since they're small enough to fit in a Kong and fill it up.  She loves them so much in fact that she'll bring the Kong over to me, drop it and stare at me until I pick it up and say the catch phrase; ""Want me to fill it?"".  Once I say that, she bolts to the kitchen where I keep them and paces or sits in place until she gets it.  It's almost impossible to find a good grain-free peanut butter treat and these do have barley flour as the main ingredient, which isn't bad by any stretch, but they are meant as treats and not as a primary food source, so I don't want to get too crazy about her carbohydrate intake.  A dogs digestive tract processes fats and proteins first and since carbs are generally non-essential in the process and either get converted to glucose for energy or become part of the waste, they're not really needed that much.  Plus, the tumeric and rosemary seem to make her farts much more bearable.  :)",5
13,42582,"My dogs loved the taste of these treats but they were much to small to provide them with any amount of chew time.  I have two dogs 21 and 23 pounds and they had these chewed up in less then a minute, so I don't think that it served as a benefit for their oral health.  I do not feel that the price of the larger chews, for the number you get in a package would be worth the value.",3
14,42864,"Good taste, but more sweet than I expected. Also, the texture could have been a little creamier.  But overall, it hit the chocolate spot.",3
15,55452,"These are tasty jelly beans that are not tasty enough to be worth $13 per lb. Otherwise, it's a good product, just a tad overpriced.",3
16,55543,"This product was not bad, but was disappointing.  The box promises ""roasted nut and honey.""  While I could detect the ""honey"" flavor, rendered as a glaze more reminiscent of sugar than honey, there is little to no nut flavor.  In deed the product image shows each ""O"" covered in nuts and promises, ""nuts in every bite,"" the actual appearance is much different with no visible nuts on the cereal.<br /><br />The texture is fine.  The crunch holds up in milk.  It is more of an airy texture than say a dense Cheerio.  More the texture of Honeycomb brand cereal.<br /><br />Nutritionally this product is mediocre.  Again not bad, but could be better.  Sugars rack in at 10g, less than many sugar sweetened cereal but still high.  Fiber is 2g which is something, but a bit low.  1g of fat is gaood and none of it saturated or trans fat.<br /><br />I will finish the box, but will not by more of these again.",2
17,69844,Expiration on packaging says 10/02/12 and today is 08/09/12 so I called Amazon and they refund the purchase because they can't reship because this is a common problem with this product.<br />I have to say I don't think the exp. date was anything but deliberate on the companies part.,1
18,70495,"I ordered the GoGo Squeez Applesauce at my granddaughter's request.  She likes them in her lunch.  Since it is a healthy snack, I was happy to provide for her.",4
19,70718,when i received this product it was already out of date. the product already 2 month that passed its shelf life. Its shame to sell out of date products.,1
20,74028,"This sauce is okay, but nothing to write home about.  In the past, my experience with chipotle was on a sub at Subway, which I absolutely loved.  Ever since then, I've been trying to find a close match.  If I'm buying Chipotle sauce in the future, I'll try other brands to see if I can match Subway's perfection.  If there are no other brands, I'll probably pass on buying any type of chipotle sauce.",3
21,83005,"Being a huge fan of the ""subscribe and save"" program through Amazon, I decided to add coffee to an ever growing list of products delivered.  This coffee, however, is the worst my husband and I have ever tried!  Beware.",1
22,83929,"I drank Bailey's Irish Creme for years and thoroughly enjoyed it. I saw this brand at my local liquor store and asked another person picking up a bottle of this brand what they thought of the two in comparison. They liked Carolans better. I bought a bottle to try and I find it smoother and cheaper than Bailey's. It has the same rich flavor. I have tried competitive brands of other liquors before and been disappointed that they tasted ""watered down"" or were harsh and went back to the standard. I won't on this one.",5
23,89573,"I wish the ingredients were a little healthier because my two mini dachshunds really love this food. I should have read the ingredients first. The soy ingredients don't bother me as much as the food coloring does. (Added color (Red 40, Blue 2, Yellow 5, Yellow 6 and other color).  The green peas and vegetables in the mix aren't really veggies, but a kibble formed into vegetable shapes and colored to look like vegetables. I wish pet food manufacturers would spend less on making dog food look appetizing to humans and more in making it healthy for our pets.<br /><br />Although beef is the first ingredient on the list, most of the rest are grain products including soy, corn and rice. One of our dogs sometimes has a sensitive stomach and it's probably all the soy that doesn't always agree. Another ingredient is animal digest which could contain goodness knows what. I think I prefer the limited ingredient types of foods that my dogs normally eat, ones where I can recognize all the ingredients and they don't sound like something I wouldn't want to eat.",3
24,89630,"The dog and I disagree.  She loves it; I don't.  The title is misleading it states Grilled Sirloin, but it is based largely around soybeans, corn and wheat -- among the first few ingredients; this typical of most Purina products.  My vet has warned me about potential allergies like corn & wheat.  It also contains artificial colors, such as Yellow 6 and Red 40.  Artificial coloring this has been known to lead to bladder, and/or urinary track issues.<br /><br />Even when I fed her the recommended amount, 1 cup per 10 pounds, she seemed to remain hungry.  I don't recommend as a daily feed but, as a supplement - she gets to gobble it up & I don't have to worry about her nutrition or health.",3
25,89978,"I have two min. schnauzers and they tend to be picky eaters.  I was a little reluctant to try this, but am glad I did. They really seem to like Che Michael's!  Thank you Amazon. And having the convienence of having the dog food delivered to the front door is so great!",5
26,98081,"Few months ago, I bout salmon roe caviar in three different variety ( American salmon caviar, Canadian salmon caviar, and Russian salmon caviar) for try from GourmetFoodStore . They are delivered via express mail in cold pack. The products are all fresh and good condition. They are all taste as it should be, how ever the American product was better than Canadian product in my taste buds but the Russian product were even better for my taste buds.<br />In view of these, I recommend all of the product equally, but Russian is my choice for my taste buds. Ian Hammie.",4
27,99141,"Great flavor and texture of the vanilla Halva itself, but the Pistachios do not permeate well enough to enhance the flavor throughout. It's only when you bite into one that you get the blending, so maybe adding more of the nuts would help, or some natural flavorings.",4
28,101042,I really recommend this product. It is well packaged and protected. Also it smells and taste better than I expected!,4
29,101766,"Gave them to my beagles, who are both pretty picky, and they both ate them up. Nice that they are low calorie since my dogs are kind of tubby.",5
30,108684,The description did not indicate the size of the beans.  I was hoping they were small but they turned out to be very very large.  Not sure how to use these.,2
31,109319,Good price for the size I wanted and great quality.  It was just what I needed for a mead project.  Items was delivered quickly.,4
32,113127,"I tried this when it was $16 for 54oz and ordered 6 tubs combined with my friends to get the free shipping. The low price did not mean low quality! I have tried quite a few brands and this is my favorite so far! Coconut-y but not overpowering. I use it for baking, cooking, and for skin and hair. I usually put a small Tupperware in the bathroom for beauty uses.<br />(it really does help you lose weight FYI!)",5
33,117686,"Chocolate?  The strongest flavor of this tea - it's actually quite overwhelming - is ORANGE.  It seems to be of good quality so if you like strong ORANGE tea, then this is for you.  Unfortunately I now have a large bag of tea that I'll never drink because I don't care for the ORANGE taste.",1
34,118727,I love to have soup for lunch and as a result I like to have a variety of soups available.  This soup is very good.,4
35,120864,"I'm a life long vanilla lover and was thrilled to discover this product in my local market while I was living in Southern California. Now that I'm on the East coast, I've been unable to find it. As you might imagine, I was delighted to find it on Amazon. This product is sweet (without any sweetening additives) and the lovely vanilla flavor is rich and long-lasting.  It permeates and enriches whatever I have used it in. I recommend it most highly!",5
