ID,Review_Title,Review,Rating
0,good product,"fine at this price
",1
1,Worth the money,Best quality materials,1
2,Perfect product!,Good product,1
3,Mind-blowing purchase,Excellent,1
4,Mind-blowing purchase,Nice,1
5,Utterly Disappointed,Worst quality,0
6,Perfect product!,Very good product,1
7,Delightful,Value for money,1
8,Expected a better product,This is good but the stitching of flat mop pads got exposed.Thread started coming out after 3 weeks of use.After a month it was completely useless.And it doesn't even work well.😡😡,0
9,"Mic quality
","Mic quality is very bad. Voice are very low at receiver end. Please do the needful.
",0
10,Good quality product,Good one,1
11,Pretty good,Good 😊,1
12,Value-for-money,"Well designed cooler. Only one drawback I felt is, the length of the power cable is too short. Working in good condition.",1
13,Terrific,Very good product,1
16,Just wow!,Thank you,1
17,Mind-blowing purchase,Superb,1
18,"Worst durability
","No warranty process done , both sides of earphone not working , just for 2 months of usage . 250rs earphones selling for 1499/-
",0
19,"Very good product
","Very good product
",1
20,Terrific,Buy it u can't regret after usage and thank me later,1
21,Absolute rubbish!,Very bed cooler it's sound too much,0
22,"Value for the money
","Sound quality and build quality is good. Practical to use during bike rides. Value for the money.
",1
23,Not good,Not good,0
24,"Must buy
","Great Product Awesome sound quality
",1
25,Absolute rubbish!,Poor quality,0
26,Value-for-money,Nice,1
27,Perfect product!,Good,1
30,Good quality product,Good,1
31,Terrific,Good product,1
32,Terrific purchase,Good,1
33,Fabulous!,Good,1
34,Perfect product!,Fabulous,1
35,Great product,Best product,1
36,Worth every penny,Very good product,1
37,"Good product
","Good sound, bass is decent, however noise cancellation is not that effective, but an overall worth for money product.
",1
38,Great product,Good product..,1
39,Good quality product,Good,1
40,Worth the money,Good,1
42,Pretty good,Nice,1
43,"Good product worth the price
","Good product #worth_the_price#everything_is_good#But_the_battery_play_back_time_is_4:30-5_hours
",1
44,Perfect product!,Good  producd for regular used,1
46,"Bass amazing but sound is only ok
","Bass is too deeply which the best thing in this earphone.and sound quality is also good but not great...valume is also not high but its ok..you can buy this..
",1
47,Must buy!,Super qulaty ❤️😍😍😍,1
49,Did not meet expectations,Matiriyal is vary bad zeep is very cheep matirialStich is very bad in  1 week avrithing is brek,0
50,Value-for-money,Nice,1
51,Wonderful,Good one,1
52,Fabulous!,Value for money.,1
53,Really Nice,"cheap and best camera for beginners,",1
54,Just wow!,Good quality products,1
55,Perfect product!,Good,1
56,Terrific purchase,Very good,1
57,Not recommended at all,Bad quality,0
58,"Mind blowing headphone....I like boat..good bass ..all everything goid
","Mind blowing headphone....I like boat..
",1
59,Worthless,Quality is very bad,0
60,"Five Stars
","Awesome Earphones.!
",1
61,Super!,Nice,1
62,Worth the money,2019 model is very good product it has metal oil collertor,1
63,Wonderful,"For beginners ,good quality photos",1
64,Simply awesome,Amazing product...thanks to you flipkart,1
65,Best in the market!,Awesome product.. Better than other branded products,1
66,Perfect product!,Good,1
67,Nice product,Nice,1
68,Worth the money,Good product,1
69,"Com
","Very good performance for the great price. Purchased this one on sale price. Value for money.
",1
70,"totally disappointed
","I got the product from amazon as expected in time but the left earpiece isn't working at all.... and even the mike isn't working... I ordered this product to have my conversation easily while driving but to mg astonishment the product wasn't okie... but the audibility with one side of the earpiece is also not less it's a great pleasure. . I hope I get a replacement for this product
",0
71,Terrible product,Badest product,0
72,Excellent,Good quality,1
73,Good choice,Good,1
74,"Good headphone at affordable cost
","I liked the product. Very good sound quality. Call quality is also excellent. Totally satisfied.
",1
75,Wonderful,Nice,1
76,Pretty good,Good,1
77,Highly recommended,best camera for entry level or personal use,1
78,Really Nice,nice,1
79,Mind-blowing purchase,Best quality,1
80,Nan,Very bad,0
81,"Amazing One
","I have used JBL, Skullcandy, Sony and now Sennheiser this model is amazing ofcourse loving it.
",1
82,Worth the money,Superb,1
83,Perfect product!,Awesome go for it,1
84,"awesome sound and product
","sexy earphones heavy bass punch great noise cancellation treble,vocals all are great highly recommended to buy
",1
85,Nice product,Love this product because dslr camera is my dream now dream comes true...📷😍,1
86,Classy product,Excellent performance,1
87,Nice product,Awesome,1
88,Best in the market!,Pure cotton fabric nice print colour am so happy,1
89,Best in the market!,Nice product,1
90,Brilliant,Good,1
91,Mind-blowing purchase,Supar,1
93,Awesome,Good 👍,1
94,Perfect product!,Good,1
95,"Good
","Good product can go for it but the only thing is cable is too long
",1
96,Mind-blowing purchase,Fabulous  product,1
97,Wonderful,Very nice👍,1
98,Excellent,Nice protect,1
99,Brilliant,Best,1
100,Worth every penny,Good product,1
101,Simply awesome,Good product,1
102,"Pl don't purches this product
","This product is very bed why this bettry backups only 10 min. When if you full charge and if not full charge backup only 2-8 min
",0
103,Fabulous!,Good performance,1
104,Wonderful,Good,1
105,Slightly disappointed,"Not good ,cheep quality",0
106,Nice product,good,1
107,"Nice
","Received the product in time , gifted it to my brother. Good sound quality in this price range
",1
108,"Good product
","Sounds good
",1
109,Brilliant,I am loving it..,1
110,Very Good,Good product,1
111,"Good product
","Good quality
",1
112,Highly recommended,so far so good,1
115,Good quality product,Good,1
116,Simply awesome,Super,1
117,Awesome,Super product,1
118,Highly recommended,Very Nice cooler this price cooling is exilent.but cooler size is very heavy,1
119,Perfect product!,Very nice products,1
120,Pretty good,Good product,1
121,Excellent,It's good,1
122,Fabulous!,Nice,1
123,"Good product
","Base is not as good as we want in a boat headfone....and sonud is also not so loud
",1
124,Terrific purchase,Nice product,1
125,Pretty good,Very Good product.,1
126,Terrific,Good product,1
127,"Pathetic product
","in three months one side stopped  working. Not worth the money
",0
128,Worth the money,Super,1
129,Perfect product!,Nice product,1
130,"Bluetooth issue
","I just bought it and everything was good but suddenly issue with Bluetooth came and I returned it but the sound and all was good
",0
131,Must buy!,Good,1
132,Terrific purchase,Very nice 👍👍👍👍,1
133,Best in the market!,Nice product,1
134,Pretty good,Good,1
135,"Very good
","Great
",1
136,Unsatisfactory,Not god air thorw not god quality not accepted,0
138,Very Good,Good,1
139,Highly recommended,Awesome,1
140,Perfect product!,Nice product,1
141,Terrific purchase,Nice,1
142,Great product,"For basic photography, this is a very good starting DSLR model. If you can focus manually then the 18-55lens can land some decent pics.Got this for 18k in big billion day. Kudos to Flipkart and Canon.",1
143,Fabulous!,good product,1
144,Terrific purchase,gd,1
145,"Not working earphones
","One side of the earphone stop working in just 2 mnths of purchase thus affecting sound quality
",0
146,Slightly disappointed,Average,0
147,"Not working
","It is already not working now
",0
