date,demand
2015-01-01,99635.03
2015-01-02,129606.01
2015-01-03,142300.54
2015-01-04,104330.715
2015-01-05,118132.2
2015-01-06,130672.485
2015-01-07,153514.82
2015-01-08,142015.655
2015-01-09,121801.155
2015-01-10,103043.66
2015-01-11,99865.755
2015-01-12,131261.125
2015-01-13,126527.36
2015-01-14,119741.62
2015-01-15,118411.22
2015-01-16,116690.765
2015-01-17,99371.31
2015-01-18,97728.75
2015-01-19,116883.15
2015-01-20,128968.125
2015-01-21,148702.505
2015-01-22,153232.1
2015-01-23,138095.2
2015-01-24,116310.59
2015-01-25,97959.46
2015-01-26,103769.48
2015-01-27,118393.31
2015-01-28,116763.725
2015-01-29,119313.73
2015-01-30,121018.15
2015-01-31,103822.97
2015-02-01,100178.84
2015-02-02,118694.16
2015-02-03,122880.13
2015-02-04,117398.03
2015-02-05,122279.425
2015-02-06,141837.005
2015-02-07,132138.365
2015-02-08,112108.215
2015-02-09,126813.075
2015-02-10,145948.565
2015-02-11,149322.85
2015-02-12,131376.78
2015-02-13,136070.62
2015-02-14,119692.025
2015-02-15,125287.71
2015-02-16,131832.63
2015-02-17,127666.01
2015-02-18,125972.765
2015-02-19,139399.69
2015-02-20,139465.675
2015-02-21,136283.03
2015-02-22,138016.35
2015-02-23,135255.815
2015-02-24,120263.515
2015-02-25,130062.755
2015-02-26,131525.855
2015-02-27,131069.4
2015-02-28,116275.73
2015-03-01,103462.78
2015-03-02,123301.835
2015-03-03,126750.29
2015-03-04,120764.185
2015-03-05,114967.345
2015-03-06,117053.75
2015-03-07,108344.575
2015-03-08,106348.78
2015-03-09,108282.48
2015-03-10,125828.53
2015-03-11,124418.415
2015-03-12,121683.65
2015-03-13,120929.815
2015-03-14,108738.82
2015-03-15,100170.295
2015-03-16,123787.075
2015-03-17,125600.86
2015-03-18,127975.815
2015-03-19,128319.45
2015-03-20,119491.32
2015-03-21,106754.8
2015-03-22,106555.03
2015-03-23,122810.05
2015-03-24,123234.935
2015-03-25,122268.86
2015-03-26,121998.2
2015-03-27,122346.335
2015-03-28,112187.715
2015-03-29,106418.665
2015-03-30,123061.87
2015-03-31,125795.325
2015-04-01,122042.265
2015-04-02,113838.41
2015-04-03,98891.06
2015-04-04,103999.17
2015-04-05,103685.45
2015-04-06,107383.37
2015-04-07,120235.505
2015-04-08,122129.775
2015-04-09,123990.76
2015-04-10,121753.115
2015-04-11,110034.165
2015-04-12,103760.225
2015-04-13,125107.78
2015-04-14,127793.38
2015-04-15,126673.935
2015-04-16,126937.94
2015-04-17,131031.415
2015-04-18,109763.985
2015-04-19,107160.54
2015-04-20,126696.19
2015-04-21,127973.585
2015-04-22,128598.495
2015-04-23,126483.805
2015-04-24,126230.785
2015-04-25,111803.625
2015-04-26,108217.82
2015-04-27,127855.22
2015-04-28,132642.14
2015-04-29,132814.615
2015-04-30,132669.58
2015-05-01,126304.445
2015-05-02,108487.975
2015-05-03,109233.34
2015-05-04,122375.47
2015-05-05,123734.865
2015-05-06,129121.86
2015-05-07,131237.185
2015-05-08,131138.73
2015-05-09,108377.05
2015-05-10,103811.28
2015-05-11,123740.245
2015-05-12,129312.58
2015-05-13,136903.27
2015-05-14,135217.65
2015-05-15,135172.41
2015-05-16,117136.63
2015-05-17,111897.085
2015-05-18,127524.8
2015-05-19,133235.48
2015-05-20,127522.71
2015-05-21,135361.195
2015-05-22,133422.46
2015-05-23,119331.85
2015-05-24,118783.085
2015-05-25,136690.92
2015-05-26,140886.995
2015-05-27,133103.37
2015-05-28,127900.235
2015-05-29,132338.94
2015-05-30,114669.79
2015-05-31,113261.26
2015-06-01,140919.995
2015-06-02,148534.505
2015-06-03,146902.95
2015-06-04,147155.265
2015-06-05,142625.035
2015-06-06,120128.295
2015-06-07,109609.685
2015-06-08,110715.815
2015-06-09,132854.135
2015-06-10,144125.525
2015-06-11,143465.445
2015-06-12,145005.62
2015-06-13,123754.55
2015-06-14,119125.62
2015-06-15,136054.145
2015-06-16,139073.785
2015-06-17,134290.46
2015-06-18,137073.775
2015-06-19,139781.245
2015-06-20,129576.36
2015-06-21,124910.57
2015-06-22,140431.36
2015-06-23,133171.4
2015-06-24,135407.57
2015-06-25,137379.23
2015-06-26,135562.075
2015-06-27,124587.43
2015-06-28,119277.48
2015-06-29,139468.155
2015-06-30,143170.055
2015-07-01,138931.0
2015-07-02,138972.425
2015-07-03,145713.81
2015-07-04,130073.27
2015-07-05,117312.925
2015-07-06,143176.335
2015-07-07,143984.39
2015-07-08,141696.295
2015-07-09,141994.375
2015-07-10,136884.095
2015-07-11,123971.705
